name,category,source,lat,lon,wikidata_qid,id
Casa da Dani,landmark_and_historical_building,overture,-22.995826721191406,-43.238922119140625,,overture:Casa da Dani:-22.99583:-43.23892
Passarela Do 314,landmark_and_historical_building,overture,-22.997663497924805,-43.239471435546875,,overture:Passarela Do 314:-22.99766:-43.23947
Ballroom Alto,topic_concert_venue,overture,-22.954301834106445,-43.262630462646484,,overture:Ballroom Alto:-22.95430:-43.26263
Vila do Sossego,landmark_and_historical_building,overture,-22.950185775756836,-43.26119613647461,,overture:Vila do Sossego:-22.95019:-43.26120
G.S.A - Guerreiros da Selva Airsoft,landmark_and_historical_building,overture,-22.948213577270508,-43.258670806884766,,overture:G.S.A - Guerreiros da Selva Airsoft:-22.94821:-43.25867
Edifício Mongeral XIII,landmark_and_historical_building,overture,-22.946876525878906,-43.255924224853516,,overture:Edifício Mongeral XIII:-22.94688:-43.25592
Condomínio do Edifício Jequitibá,landmark_and_historical_building,overture,-22.945846557617188,-43.2548713684082,,overture:Condomínio do Edifício Jequitibá:-22.94585:-43.25487
Condominio do Edificio Solar da Usina,landmark_and_historical_building,overture,-22.946670532226562,-43.2557258605957,,overture:Condominio do Edificio Solar da Usina:-22.94667:-43.25573
Mirante do Excelsior,landmark_and_historical_building,overture,-22.942432403564453,-43.27275085449219,,overture:Mirante do Excelsior:-22.94243:-43.27275
CondomÍNio Sheila Ii,landmark_and_historical_building,overture,-22.94147491455078,-43.24911117553711,,overture:CondomÍNio Sheila Ii:-22.94147:-43.24911
"Edificio Maracaí, Tijuca, Rio De Janeiro",landmark_and_historical_building,overture,-22.941028594970703,-43.252235412597656,,"overture:Edificio Maracaí, Tijuca, Rio De Janeiro:-22.94103:-43.25224"
Condomínio do Edifício Copa ll,landmark_and_historical_building,overture,-22.94125747680664,-43.25265884399414,,overture:Condomínio do Edifício Copa ll:-22.94126:-43.25266
Recreio dos Anciãos,landmark_and_historical_building,overture,-22.940570831298828,-43.251216888427734,,overture:Recreio dos Anciãos:-22.94057:-43.25122
Adorable Tijuca,landmark_and_historical_building,overture,-22.939529418945312,-43.249935150146484,,overture:Adorable Tijuca:-22.93953:-43.24994
Condomínio do Edifício Parque Residencial Flamboyant,landmark_and_historical_building,overture,-22.939138412475586,-43.25017547607422,,overture:Condomínio do Edifício Parque Residencial Flamboyant:-22.93914:-43.25018
Condomínio Village São Miguel,landmark_and_historical_building,overture,-22.939096450805664,-43.250816345214844,,overture:Condomínio Village São Miguel:-22.93910:-43.25082
Magnus Residence,landmark_and_historical_building,overture,-22.937217712402344,-43.24739074707031,,overture:Magnus Residence:-22.93722:-43.24739
Residencial Baviera,landmark_and_historical_building,overture,-22.933378219604492,-43.24882888793945,,overture:Residencial Baviera:-22.93338:-43.24883
Trendy E-Home,landmark_and_historical_building,overture,-22.93229103088379,-43.24739074707031,,overture:Trendy E-Home:-22.93229:-43.24739
Via Margutta Tijuca Residences,landmark_and_historical_building,overture,-22.931909561157227,-43.24913024902344,,overture:Via Margutta Tijuca Residences:-22.93191:-43.24913
Represa do Ciganos,landmark_and_historical_building,overture,-22.9283504486084,-43.299285888671875,,overture:Represa do Ciganos:-22.92835:-43.29929
Morro da Cachoeirinha,landmark_and_historical_building,overture,-22.919723510742188,-43.27777862548828,,overture:Morro da Cachoeirinha:-22.91972:-43.27778
Biologic,topic_concert_venue,overture,-22.92439079284668,-43.291221618652344,,overture:Biologic:-22.92439:-43.29122
Rio Fortaleza,landmark_and_historical_building,overture,-22.92473030090332,-43.3026237487793,,overture:Rio Fortaleza:-22.92473:-43.30262
Point do Encontro,landmark_and_historical_building,overture,-22.914287567138672,-43.2985725402832,,overture:Point do Encontro:-22.91429:-43.29857
Tancredo Martins Costa,landmark_and_historical_building,overture,-22.912872314453125,-43.30023956298828,,overture:Tancredo Martins Costa:-22.91287:-43.30024
Morro Do Familia,landmark_and_historical_building,overture,-22.906911849975586,-43.30569076538086,,overture:Morro Do Familia:-22.90691:-43.30569
Condomínio Kanapali do Méier,landmark_and_historical_building,overture,-22.90799331665039,-43.302345275878906,,overture:Condomínio Kanapali do Méier:-22.90799:-43.30235
Condomínio do Edifício Bandeirante Marcos Azevedo,landmark_and_historical_building,overture,-22.907331466674805,-43.30204772949219,,overture:Condomínio do Edifício Bandeirante Marcos Azevedo:-22.90733:-43.30205
Condomínio do Edifício Lambert,landmark_and_historical_building,overture,-22.90715980529785,-43.30098342895508,,overture:Condomínio do Edifício Lambert:-22.90716:-43.30098
Jamaica City,landmark_and_historical_building,overture,-22.908618927001953,-43.299591064453125,,overture:Jamaica City:-22.90862:-43.29959
Condominio do Edificio Betta II,landmark_and_historical_building,overture,-22.90951156616211,-43.29753494262695,,overture:Condominio do Edificio Betta II:-22.90951:-43.29753
Condomínio Vega Azul,landmark_and_historical_building,overture,-22.90936851501465,-43.29707717895508,,overture:Condomínio Vega Azul:-22.90937:-43.29708
Condominio do Edificio Casa Havana,landmark_and_historical_building,overture,-22.90714454650879,-43.29188537597656,,overture:Condominio do Edificio Casa Havana:-22.90714:-43.29189
Méier,landmark_and_historical_building,overture,-22.906984329223633,-43.291961669921875,,overture:Méier:-22.90698:-43.29196
Condominio do Edificio Domus Taurus,landmark_and_historical_building,overture,-22.907825469970703,-43.29291534423828,,overture:Condominio do Edificio Domus Taurus:-22.90783:-43.29292
Ed. Rose Blanche,landmark_and_historical_building,overture,-22.91010284423828,-43.291717529296875,,overture:Ed. Rose Blanche:-22.91010:-43.29172
Condomínio da Vila São Jorge,landmark_and_historical_building,overture,-22.911672592163086,-43.289794921875,,overture:Condomínio da Vila São Jorge:-22.91167:-43.28979
Vila Ritz,landmark_and_historical_building,overture,-22.912328720092773,-43.28579330444336,,overture:Vila Ritz:-22.91233:-43.28579
Condominio do Edificio Recanto dos Alpes Ii,landmark_and_historical_building,overture,-22.910673141479492,-43.28830337524414,,overture:Condominio do Edificio Recanto dos Alpes Ii:-22.91067:-43.28830
Residencial D'Aberville,landmark_and_historical_building,overture,-22.908550262451172,-43.28818893432617,,overture:Residencial D'Aberville:-22.90855:-43.28819
Condomínio do Edifício Palazzo Di Torino,landmark_and_historical_building,overture,-22.90863609313965,-43.29103469848633,,overture:Condomínio do Edifício Palazzo Di Torino:-22.90864:-43.29103
Condominio Leogarden,landmark_and_historical_building,overture,-22.908109664916992,-43.29071044921875,,overture:Condominio Leogarden:-22.90811:-43.29071
Condominio do Edificio Palazzo Di Parma,landmark_and_historical_building,overture,-22.90797233581543,-43.29079055786133,,overture:Condominio do Edificio Palazzo Di Parma:-22.90797:-43.29079
Teatro Glaucio Rocha,topic_concert_venue,overture,-22.907550811767578,-43.288665771484375,,overture:Teatro Glaucio Rocha:-22.90755:-43.28867
Condominio Vila São Pedro,landmark_and_historical_building,overture,-22.907684326171875,-43.28864669799805,,overture:Condominio Vila São Pedro:-22.90768:-43.28865
complexo do orelha,landmark_and_historical_building,overture,-22.90833854675293,-43.28858947753906,,overture:complexo do orelha:-22.90834:-43.28859
Condomínio Residencial Lins de Vasconcelos,landmark_and_historical_building,overture,-22.907997131347656,-43.28606414794922,,overture:Condomínio Residencial Lins de Vasconcelos:-22.90800:-43.28606
Edifício Conde de Lorena,landmark_and_historical_building,overture,-22.909748077392578,-43.287349700927734,,overture:Edifício Conde de Lorena:-22.90975:-43.28735
Condominio do Edificio Torre do Meier,landmark_and_historical_building,overture,-22.9093017578125,-43.28101348876953,,overture:Condominio do Edificio Torre do Meier:-22.90930:-43.28101
Condomínio do Edifício Presidente Médici,landmark_and_historical_building,overture,-22.90861701965332,-43.28330993652344,,overture:Condomínio do Edifício Presidente Médici:-22.90862:-43.28331
Soneto Residence,landmark_and_historical_building,overture,-22.908388137817383,-43.2837028503418,,overture:Soneto Residence:-22.90839:-43.28370
Singular Meier,landmark_and_historical_building,overture,-22.908226013183594,-43.28357696533203,,overture:Singular Meier:-22.90823:-43.28358
Condomínio Golden Class Méier,landmark_and_historical_building,overture,-22.9075927734375,-43.283714294433594,,overture:Condomínio Golden Class Méier:-22.90759:-43.28371
Condominio do Edificio Residencial Lord Cezar,landmark_and_historical_building,overture,-22.90835952758789,-43.27984619140625,,overture:Condominio do Edificio Residencial Lord Cezar:-22.90836:-43.27985
Condomínio Coronel Pralon,landmark_and_historical_building,overture,-22.907060623168945,-43.279090881347656,,overture:Condomínio Coronel Pralon:-22.90706:-43.27909
