id,name,category,lat,lon,wikidata_qid
overture:Instituto Histórico e Geográfico Brasileiro:-22.91463:-43.17657,Instituto Histórico e Geográfico Brasileiro,library,-22.914628982543945,-43.176570892333984,
overture:Instituto de Pesquisa e Memória Pretos Novos (IPN):-22.89598:-43.19291,Instituto de Pesquisa e Memória Pretos Novos (IPN),memorial,-22.89597511291504,-43.192909240722656,
overture:Military Museum Conde de Linhares:-22.90490:-43.21927,Military Museum Conde de Linhares,museum,-22.904897689819336,-43.21927261352539,
overture:Museu Histórico e Diplomático:-22.90347:-43.18834,Museu Histórico e Diplomático,museum,-22.90346908569336,-43.18833541870117,
overture:Museu do Negro:-22.90431:-43.18052,Museu do Negro,museum,-22.90431022644043,-43.18052291870117,
overture:Museu do Trem:-22.89525:-43.29181,Museu do Trem,museum,-22.895246505737305,-43.291805267333984,
overture:Museu do Índio:-22.95186:-43.19106,Museu do Índio,museum,-22.95186424255371,-43.191062927246094,
overture:Palácio do Catete:-22.92589:-43.17620,Palácio do Catete,historic_site,-22.925893783569336,-43.17620086669922,
overture:Submarino-Museu Riachuelo S-22:-22.90047:-43.17464,Submarino-Museu Riachuelo S-22,museum,-22.900468826293945,-43.174644470214844,
overture:Acueducto Carioca:-22.91260:-43.17985,Acueducto Carioca,historic_site,-22.91259765625,-43.17985153198242,
overture:Apoteose:-22.91307:-43.19578,Apoteose,public_square,-22.913070678710938,-43.19578170776367,
overture:Aqueduto da Carioca:-22.91260:-43.17985,Aqueduto da Carioca,historic_site,-22.91259765625,-43.17985153198242,
overture:Baianas da Estação Primeira de Mangueira:-22.90352:-43.24060,Baianas da Estação Primeira de Mangueira,samba_school,-22.903520584106445,-43.240596771240234,
overture:Cais do Valongo:-22.89665:-43.18717,Cais do Valongo,memorial,-22.896648406982422,-43.187171936035156,
overture:Castelo Mourisco:-22.87491:-43.24537,Castelo Mourisco,historic_site,-22.87491226196289,-43.24536895751953,
overture:Centro de Tradições Nordestinas Luiz Gonzaga:-22.89746:-43.22038,Centro de Tradições Nordestinas Luiz Gonzaga,cultural_center,-22.897462844848633,-43.220375061035156,
overture:Cidade Universitária da UFRJ:-22.85306:-43.22583,Cidade Universitária da UFRJ,university,-22.853055953979492,-43.225833892822266,
overture:Clube Naval:-22.90818:-43.17667,Clube Naval,historic_site,-22.908180236816406,-43.176673889160156,
overture:Estatua Equestre de D. Pedro I:-22.90699:-43.18304,Estatua Equestre de D. Pedro I,monument,-22.906986236572266,-43.18304443359375,
overture:Largo do Machado Station:-22.93090:-43.17831,Largo do Machado Station,public_square,-22.93090057373047,-43.178306579589844,
"overture:Marechal Hermes, Rio de Janeiro:-22.86195:-43.37083","Marechal Hermes, Rio de Janeiro",historic_site,-22.861948013305664,-43.37083435058594,
overture:Mirante do Valongo:-22.89891:-43.18705,Mirante do Valongo,natural_landmark,-22.898914337158203,-43.187049865722656,
overture:Obelisco da Avenida Rio Branco:-22.91271:-43.17479,Obelisco da Avenida Rio Branco,monument,-22.9127140045166,-43.1747932434082,
overture:Pala'cio - Parque Lage:-22.96018:-43.21217,Pala'cio - Parque Lage,public_square,-22.96018409729004,-43.21217346191406,
overture:Paço de São Cristóvão:-22.90572:-43.22689,Paço de São Cristóvão,historic_site,-22.905723571777344,-43.22689437866211,
overture:Portao Historico da Fortaleza de Sao Joao:-22.94354:-43.15702,Portao Historico da Fortaleza de Sao Joao,historic_site,-22.943544387817383,-43.157020568847656,
overture:Sambódromo Setor 10-11-12-13:-22.91203:-43.19681,Sambódromo Setor 10-11-12-13,theater,-22.91203498840332,-43.19681167602539,
overture:Selaron Steps:-22.91553:-43.17966,Selaron Steps,public_square,-22.9155330657959,-43.179656982421875,
overture:Vista Chinesa:-22.97327:-43.24947,Vista Chinesa,natural_landmark,-22.9732666015625,-43.249473571777344,
overture:Museu de Arte Moderna do Rio de Janeiro:-22.91367:-43.17186,Museu de Arte Moderna do Rio de Janeiro,museum,-22.913673400878906,-43.1718635559082,
overture:Cristo del Corcovado:-22.95139:-43.21083,Cristo del Corcovado,monument,-22.95138931274414,-43.21083450317383,
overture:Estátua de Carlos Drummond de Andrade:-22.98435:-43.18917,Estátua de Carlos Drummond de Andrade,monument,-22.98435401916504,-43.18916702270508,
overture:Etnias - Mural de Graffiti:-22.89434:-43.18715,Etnias - Mural de Graffiti,historic_site,-22.894336700439453,-43.18714904785156,
overture:Monumento Nacional aos Mortos da Segunda Guerra Mundial:-22.91658:-43.17340,Monumento Nacional aos Mortos da Segunda Guerra Mundial,memorial,-22.916582107543945,-43.173397064208984,
overture:Monumento Retirada da Laguna:-22.95494:-43.16587,Monumento Retirada da Laguna,monument,-22.954940795898438,-43.165870666503906,
overture:Monumento ao Almirante Barroso Barao do Amazonas:-22.91852:-43.17591,Monumento ao Almirante Barroso Barao do Amazonas,monument,-22.91851806640625,-43.1759147644043,
overture:Monumento ao Barão de Mauá:-22.89607:-43.18098,Monumento ao Barão de Mauá,monument,-22.89607048034668,-43.18097686767578,
overture:Monumento ao Senador Pinheiro Machado:-22.98432:-43.20597,Monumento ao Senador Pinheiro Machado,monument,-22.984315872192383,-43.20597457885742,
overture:Monumento aos Pracinhas:-22.91658:-43.17391,Monumento aos Pracinhas,memorial,-22.916580200195312,-43.17390823364258,
overture:Pedra da Gávea:-22.99787:-43.28473,Pedra da Gávea,natural_landmark,-22.99786949157715,-43.284732818603516,
overture:Arquivo histórico do Banco do Brasil:-22.90105:-43.17653,Arquivo histórico do Banco do Brasil,cultural_center,-22.901046752929688,-43.1765251159668,
overture:Casa Brasil:-22.90061:-43.17621,Casa Brasil,cultural_center,-22.90060806274414,-43.17620849609375,
overture:Casa Museu Eva Klabin:-22.97601:-43.19844,Casa Museu Eva Klabin,museum,-22.976009368896484,-43.19844436645508,
overture:Casa de Banho de Dom Joao VI:-22.87874:-43.21190,Casa de Banho de Dom Joao VI,museum,-22.87873649597168,-43.21189880371094,
overture:Centro Nacional de Flocore e Cultura Popular:-22.92629:-43.17646,Centro Nacional de Flocore e Cultura Popular,cultural_center,-22.926292419433594,-43.17646408081055,
overture:Fondation Moreira Sales:-22.98186:-43.23937,Fondation Moreira Sales,cultural_center,-22.98186492919922,-43.2393684387207,
overture:Fundação Casa de Rui Barbosa:-22.94893:-43.18699,Fundação Casa de Rui Barbosa,museum,-22.948928833007812,-43.18698501586914,
overture:Memorial Pretos Novos:-22.89604:-43.19298,Memorial Pretos Novos,memorial,-22.896039962768555,-43.1929817199707,
overture:Museo Militar Copacabana:-22.98571:-43.18505,Museo Militar Copacabana,museum,-22.985713958740234,-43.185054779052734,
overture:Museu Carmen Miranda:-22.94137:-43.17216,Museu Carmen Miranda,museum,-22.941368103027344,-43.17216110229492,
overture:Museu Casa de Benjamin Constant:-22.92045:-43.18827,Museu Casa de Benjamin Constant,museum,-22.92045021057129,-43.18826675415039,
