name,category,source,lat,lon,wikidata_qid
Coleção Geyer,museum,wikidata,-22.94099,-43.205175,Q25419064
Colégio Militar do Rio de Janeiro,university,wikidata,-22.91691,-43.226343,Q18473983
Colégio Pedro II,university,wikidata,-22.9017223,-43.184904,Q1113098
Convento de Santa Teresa,church,wikidata,-22.915529,-43.180453,Q18482673
Convento do Carmo,church,wikidata,-22.903371,-43.175553,Q4902626
Copacabana Palace,historic_site,wikidata,-22.96726,-43.17874,Q2637352
Cristo Redentor,monument,wikidata,-22.951915648,-43.210464122,Q79961
Edifício ''A Noite'',historic_site,wikidata,-22.8973,-43.181,Q5338058
Edifício Docas de Santos,historic_site,wikidata,-22.900569,-43.179598,Q69363749
Edifício Gustavo Capanema,historic_site,wikidata,-22.9092,-43.17382778,Q2598551
Escola Nacional de Belas Artes,university,wikidata,-22.908769444,-43.175705555,Q55439919
Estação Central do Brasil,historic_site,wikidata,-22.903413888,-43.191444444,Q1274003
Estação Ferroviária Leopoldina - Barão de Mauá,memorial,wikidata,-22.907711078,-43.210454321,Q69363079
Estação Leopoldina,memorial,wikidata,-22.90766242,-43.21057088,Q10275936
Estátua equestre de Dom Pedro I,monument,wikidata,-22.906954,-43.182824,Q18476242
Fazenda da Taquara,historic_site,wikidata,-22.922226662,-43.382882804,Q136421907
Fazenda do Engenho d’ Água,historic_site,wikidata,-22.955095,-43.356234,Q104907313
Fortaleza de Nossa Senhora da Conceição (Rio de Janeiro),historic_site,wikidata,-22.899226,-43.183768,Q10283627
Fortaleza de São José da Ilha das Cobras,historic_site,wikidata,-22.896382,-43.17114,Q10283639
Forte de São Tiago,memorial,wikidata,-22.905908333,-43.169522222,Q10284072
Fortim de Caetano Madeira,historic_site,wikidata,-22.8965,-43.2596,Q10284228
Hospital Escola São Francisco de Assis,historic_site,wikidata,-22.90907,-43.201393,Q10298377
Igreja Positivista do Brasil,church,wikidata,-22.92058,-43.17938,Q10300201
Igreja de Nossa Senhora da Ajuda (Ilha do Governador),church,wikidata,-22.79332,-43.170516,Q10300340
Igreja de Nossa Senhora da Candelária,church,wikidata,-22.900811111,-43.177894444,Q82312
Igreja de Nossa Senhora da Conceição e Boa Morte,church,wikidata,-22.903021,-43.178751,Q10300378
Igreja de Nossa Senhora da Glória do Outeiro,church,wikidata,-22.92144722,-43.17543333,Q10300392
Igreja de Nossa Senhora da Lapa dos Mercadores,church,wikidata,-22.90221,-43.1752,Q10300403
Igreja de Nossa Senhora da Pena,church,wikidata,-22.941587,-43.3483199,Q104904890
Igreja de Nossa Senhora da Saúde,church,wikidata,-22.893746,-43.191477,Q104853267
Igreja do Santíssimo Sacramento da Antiga Sé,church,wikidata,-22.90458,-43.182841,Q10300936
Igreja de Nossa Senhora do Bonsucesso,church,wikidata,-22.906467,-43.170585,Q10300498
Igreja de Nossa Senhora do Carmo,church,wikidata,-22.903333333,-43.175555555,Q2942273
Igreja de Nossa Senhora do Carmo da Lapa do Desterro,church,wikidata,-22.914592,-43.177707,Q96586968
Igreja de Nossa Senhora do Rosário e São Benedito (Rio de Janeiro),church,wikidata,-22.90416,-43.180492,Q10300555
Igreja de Santa Cruz dos Militares,church,wikidata,-22.902158,-43.175682,Q10300620
Igreja de São Francisco da Prainha,church,wikidata,-22.897811,-43.183628,Q48862348
Igreja do Bom Jesus da Coluna,church,wikidata,-22.859478,-43.2123,Q56641219
Jardim Botânico do Rio de Janeiro,natural_landmark,wikidata,-22.9675,-43.223889,Q45242
Jardim e Morro do Valongo,university,wikidata,-22.898558,-43.186426,Q56641218
Ladeira da Misericórdia,public_square,wikidata,-22.906195,-43.17027,Q10315482
Monumento aos Mortos da Segunda Guerra Mundial,monument,wikidata,-22.91666667,-43.17361111,Q2017454
Morro da Babilônia,natural_landmark,wikidata,-22.96,-43.17055556,Q6914185
Morro do Corcovado,natural_landmark,wikidata,-22.9525,-43.211666666,Q506938
Observatório Nacional,university,wikidata,-22.8958759,-43.2249755,Q6621362
Palácio Guanabara,historic_site,wikidata,-22.9375,-43.18388889,Q3813706
Palácio da Conceição,historic_site,wikidata,-22.89964,-43.182697,Q10343988
Palácio das Laranjeiras,historic_site,wikidata,-22.93143,-43.183562,Q10343955
Parque Nacional da Tijuca,natural_landmark,wikidata,-22.959444444,-43.277777777,Q1974494
Pavilhão Mourisco,historic_site,wikidata,-22.8749473,-43.2454285,Q84971371
Praça XV de Novembro,public_square,wikidata,-22.903,-43.173694444,Q10353359
Quinta da Boa Vista,museum,wikidata,-22.9058,-43.2244,Q2500590
Santa Casa de Misericórdia do Rio de Janeiro,historic_site,wikidata,-22.907521,-43.171143,Q10367749
Santuário de Santa Rita de Cássia,church,wikidata,-22.900376,-43.18066,Q10300658
Solar Grandjean de Montigny,museum,wikidata,-22.979022,-43.233756,Q18485129
Universidade Federal do Rio de Janeiro,university,wikidata,-22.8625,-43.223888888,Q586904
Instituto Histórico e Geográfico Brasileiro,library,overture,-22.914628982543945,-43.176570892333984,
Instituto de Pesquisa e Memória Pretos Novos (IPN),memorial,overture,-22.89597511291504,-43.192909240722656,
Military Museum Conde de Linhares,museum,overture,-22.904897689819336,-43.21927261352539,
Museu Histórico e Diplomático,museum,overture,-22.90346908569336,-43.18833541870117,
Museu do Negro,museum,overture,-22.90431022644043,-43.18052291870117,
Museu do Trem,museum,overture,-22.895246505737305,-43.291805267333984,
Museu do Índio,museum,overture,-22.95186424255371,-43.191062927246094,
Palácio do Catete,historic_site,overture,-22.925893783569336,-43.17620086669922,
Submarino-Museu Riachuelo S-22,museum,overture,-22.900468826293945,-43.174644470214844,
Acueducto Carioca,historic_site,overture,-22.91259765625,-43.17985153198242,
Apoteose,public_square,overture,-22.913070678710938,-43.19578170776367,
Aqueduto da Carioca,historic_site,overture,-22.91259765625,-43.17985153198242,
Baianas da Estação Primeira de Mangueira,samba_school,overture,-22.903520584106445,-43.240596771240234,
Cais do Valongo,memorial,overture,-22.896648406982422,-43.187171936035156,
Castelo Mourisco,historic_site,overture,-22.87491226196289,-43.24536895751953,
